Miami Heat,175,2011
Los Angeles Lakers,250,2011
Boston Celtics,1000,2011
Orlando Magic,1000,2011
Chicago Bulls,1400,2011
Oklahoma City Thunder,1600,2011
Dallas Mavericks,2000,2011
San Antonio Spurs,2500,2011
Denver Nuggets,2500,2011
Portland Trail Blazers,2800,2011
Atlanta Hawks,4000,2011
New York Knicks,4000,2011
Houston Rockets,4000,2011
Milwaukee Bucks,4000,2011
Utah Jazz,4000,2011
Phoenix Suns,5000,2011
Washington Wizards,5000,2011
New Orleans Hornets,6600,2011
Charlotte Bobcats,6600,2011
Memphis Grizzlies,10000,2011
Philadelphia 76ers,10000,2011
Los Angeles Clippers,10000,2011
Detroit Pistons,10000,2011
New Jersey Nets,10000,2011
Cleveland Cavaliers,10000,2011
Indiana Pacers,15000,2011
Golden State Warriors,15000,2011
Sacramento Kings,15000,2011
Toronto Raptors,20000,2011
Minnesota Timberwolves,20000,2011
Team,Title Odds,Year
