"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Cleveland Cavaliers","Boston Celtics",85,90,"Tue, Oct 28, 2008",2008-10-28,0,0,0,2009
"Milwaukee Bucks","Chicago Bulls",95,108,"Tue, Oct 28, 2008",2008-10-28,0,0,0,2009
"Portland Trail Blazers","Los Angeles Lakers",76,96,"Tue, Oct 28, 2008",2008-10-28,0,0,0,2009
"Indiana Pacers","Detroit Pistons",94,100,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"New Orleans Hornets","Golden State Warriors",108,103,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"Memphis Grizzlies","Houston Rockets",71,82,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"Los Angeles Lakers","Los Angeles Clippers",117,79,"Wed, Oct 29, 2008",2008-10-29,0,1,0,2009
"Sacramento Kings","Minnesota Timberwolves",96,98,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"Miami Heat","New York Knicks",115,120,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"Milwaukee Bucks","Oklahoma City Thunder",98,87,"Wed, Oct 29, 2008",2008-10-29,0,1,0,2009
"Atlanta Hawks","Orlando Magic",99,85,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"Toronto Raptors","Philadelphia 76ers",95,84,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"Phoenix Suns","San Antonio Spurs",103,98,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"Denver Nuggets","Utah Jazz",94,98,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"New Jersey Nets","Washington Wizards",95,85,"Wed, Oct 29, 2008",2008-10-29,0,0,0,2009
"Charlotte Bobcats","Cleveland Cavaliers",79,96,"Thu, Oct 30, 2008",2008-10-30,0,0,0,2009
"Houston Rockets","Dallas Mavericks",112,102,"Thu, Oct 30, 2008",2008-10-30,0,1,0,2009
"New Orleans Hornets","Phoenix Suns",108,95,"Thu, Oct 30, 2008",2008-10-30,0,1,1,2009
"Chicago Bulls","Boston Celtics",80,96,"Fri, Oct 31, 2008",2008-10-31,0,0,0,2009
"Denver Nuggets","Los Angeles Clippers",113,103,"Fri, Oct 31, 2008",2008-10-31,0,0,0,2009
"Orlando Magic","Memphis Grizzlies",84,86,"Fri, Oct 31, 2008",2008-10-31,0,0,0,2009
"Sacramento Kings","Miami Heat",77,103,"Fri, Oct 31, 2008",2008-10-31,0,0,0,2009
"New York Knicks","Philadelphia 76ers",87,116,"Fri, Oct 31, 2008",2008-10-31,0,0,0,2009
"San Antonio Spurs","Portland Trail Blazers",99,100,"Fri, Oct 31, 2008",2008-10-31,0,0,0,2009
"Golden State Warriors","Toronto Raptors",108,112,"Fri, Oct 31, 2008",2008-10-31,0,0,0,2009
"Philadelphia 76ers","Atlanta Hawks",88,95,"Sat, Nov 1, 2008",2008-11-01,0,1,0,2009
"Miami Heat","Charlotte Bobcats",87,100,"Sat, Nov 1, 2008",2008-11-01,0,1,0,2009
"Memphis Grizzlies","Chicago Bulls",86,96,"Sat, Nov 1, 2008",2008-11-01,0,1,1,2009
"Los Angeles Lakers","Denver Nuggets",104,97,"Sat, Nov 1, 2008",2008-11-01,0,0,1,2009
