"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Utah Jazz","Golden State Warriors",117,96,"Tue, Oct 30, 2007",2007-10-30,0,0,0,2008
"Houston Rockets","Los Angeles Lakers",95,93,"Tue, Oct 30, 2007",2007-10-30,0,0,0,2008
"Portland Trail Blazers","San Antonio Spurs",97,106,"Tue, Oct 30, 2007",2007-10-30,0,0,0,2008
"Dallas Mavericks","Cleveland Cavaliers",92,74,"Wed, Oct 31, 2007",2007-10-31,0,0,0,2008
"Seattle SuperSonics","Denver Nuggets",103,120,"Wed, Oct 31, 2007",2007-10-31,0,0,0,2008
"Washington Wizards","Indiana Pacers",110,119,"Wed, Oct 31, 2007",2007-10-31,0,0,0,2008
"San Antonio Spurs","Memphis Grizzlies",104,101,"Wed, Oct 31, 2007",2007-10-31,0,1,0,2008
"Chicago Bulls","New Jersey Nets",103,112,"Wed, Oct 31, 2007",2007-10-31,0,0,0,2008
"Sacramento Kings","New Orleans Hornets",90,104,"Wed, Oct 31, 2007",2007-10-31,0,0,0,2008
"Milwaukee Bucks","Orlando Magic",83,102,"Wed, Oct 31, 2007",2007-10-31,0,0,0,2008
"Philadelphia 76ers","Toronto Raptors",97,106,"Wed, Oct 31, 2007",2007-10-31,0,0,0,2008
"Detroit Pistons","Miami Heat",91,80,"Thu, Nov 1, 2007",2007-11-01,0,0,0,2008
"Phoenix Suns","Seattle SuperSonics",106,99,"Thu, Nov 1, 2007",2007-11-01,0,0,1,2008
"Houston Rockets","Utah Jazz",106,95,"Thu, Nov 1, 2007",2007-11-01,0,0,0,2008
"Dallas Mavericks","Atlanta Hawks",94,101,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Washington Wizards","Boston Celtics",83,103,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Milwaukee Bucks","Charlotte Bobcats",99,102,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Philadelphia 76ers","Chicago Bulls",96,85,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"New York Knicks","Cleveland Cavaliers",106,110,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Miami Heat","Indiana Pacers",85,87,"Fri, Nov 2, 2007",2007-11-02,0,1,0,2008
"Golden State Warriors","Los Angeles Clippers",114,120,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Denver Nuggets","Minnesota Timberwolves",99,91,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Toronto Raptors","New Jersey Nets",106,69,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Portland Trail Blazers","New Orleans Hornets",93,113,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Detroit Pistons","Orlando Magic",116,92,"Fri, Nov 2, 2007",2007-11-02,0,1,0,2008
"Los Angeles Lakers","Phoenix Suns",119,98,"Fri, Nov 2, 2007",2007-11-02,0,0,1,2008
"Sacramento Kings","San Antonio Spurs",80,96,"Fri, Nov 2, 2007",2007-11-02,0,0,0,2008
"Sacramento Kings","Dallas Mavericks",102,123,"Sat, Nov 3, 2007",2007-11-03,0,1,1,2008
"Portland Trail Blazers","Houston Rockets",80,89,"Sat, Nov 3, 2007",2007-11-03,0,1,0,2008
"Indiana Pacers","Memphis Grizzlies",121,111,"Sat, Nov 3, 2007",2007-11-03,0,1,0,2008
"Chicago Bulls","Milwaukee Bucks",72,78,"Sat, Nov 3, 2007",2007-11-03,0,1,1,2008
"New Jersey Nets","Philadelphia 76ers",93,88,"Sat, Nov 3, 2007",2007-11-03,0,1,1,2008
"Golden State Warriors","Utah Jazz",110,133,"Sat, Nov 3, 2007",2007-11-03,0,1,0,2008
"Orlando Magic","Washington Wizards",94,82,"Sat, Nov 3, 2007",2007-11-03,0,1,1,2008
"New Orleans Hornets","Denver Nuggets",93,88,"Sun, Nov 4, 2007",2007-11-04,0,0,0,2008
"Atlanta Hawks","Detroit Pistons",91,92,"Sun, Nov 4, 2007",2007-11-04,0,0,0,2008
"Seattle SuperSonics","Los Angeles Clippers",101,115,"Sun, Nov 4, 2007",2007-11-04,0,0,0,2008
"Utah Jazz","Los Angeles Lakers",109,119,"Sun, Nov 4, 2007",2007-11-04,0,1,0,2008
"Charlotte Bobcats","Miami Heat",90,88,"Sun, Nov 4, 2007",2007-11-04,0,0,0,2008
"Minnesota Timberwolves","New York Knicks",93,97,"Sun, Nov 4, 2007",2007-11-04,0,0,0,2008
"Cleveland Cavaliers","Phoenix Suns",92,103,"Sun, Nov 4, 2007",2007-11-04,0,0,0,2008
"Boston Celtics","Toronto Raptors",98,95,"Sun, Nov 4, 2007",2007-11-04,0,0,0,2008
"Houston Rockets","Dallas Mavericks",98,107,"Mon, Nov 5, 2007",2007-11-05,0,0,0,2008
"Phoenix Suns","Charlotte Bobcats",115,83,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"Los Angeles Clippers","Chicago Bulls",97,91,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"Cleveland Cavaliers","Golden State Warriors",108,104,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"San Antonio Spurs","Houston Rockets",81,89,"Tue, Nov 6, 2007",2007-11-06,0,0,1,2008
"New Orleans Hornets","Los Angeles Lakers",118,104,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"Toronto Raptors","Milwaukee Bucks",85,112,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"Orlando Magic","Minnesota Timberwolves",111,103,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"Atlanta Hawks","New Jersey Nets",82,87,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"Denver Nuggets","New York Knicks",112,119,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"Seattle SuperSonics","Sacramento Kings",98,104,"Tue, Nov 6, 2007",2007-11-06,0,0,0,2008
"Phoenix Suns","Atlanta Hawks",96,105,"Wed, Nov 7, 2007",2007-11-07,0,1,1,2008
"Denver Nuggets","Boston Celtics",93,119,"Wed, Nov 7, 2007",2007-11-07,0,1,0,2008
"Los Angeles Clippers","Indiana Pacers",104,89,"Wed, Nov 7, 2007",2007-11-07,0,1,0,2008
"Charlotte Bobcats","Philadelphia 76ers",63,94,"Wed, Nov 7, 2007",2007-11-07,0,1,0,2008
"New Orleans Hornets","Portland Trail Blazers",90,93,"Wed, Nov 7, 2007",2007-11-07,0,1,0,2008
"Miami Heat","San Antonio Spurs",78,88,"Wed, Nov 7, 2007",2007-11-07,0,0,1,2008
"Memphis Grizzlies","Seattle SuperSonics",105,98,"Wed, Nov 7, 2007",2007-11-07,0,0,1,2008
"Orlando Magic","Toronto Raptors",105,96,"Wed, Nov 7, 2007",2007-11-07,0,1,1,2008
"Cleveland Cavaliers","Utah Jazz",101,103,"Wed, Nov 7, 2007",2007-11-07,0,1,0,2008
"Detroit Pistons","Chicago Bulls",93,97,"Thu, Nov 8, 2007",2007-11-08,0,0,0,2008
"Dallas Mavericks","Golden State Warriors",120,115,"Thu, Nov 8, 2007",2007-11-08,0,0,0,2008
"Washington Wizards","New Jersey Nets",85,87,"Thu, Nov 8, 2007",2007-11-08,0,0,0,2008
"Atlanta Hawks","Boston Celtics",83,106,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Indiana Pacers","Charlotte Bobcats",87,96,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Los Angeles Clippers","Detroit Pistons",79,103,"Fri, Nov 9, 2007",2007-11-09,0,0,1,2008
"Milwaukee Bucks","Houston Rockets",88,104,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Minnesota Timberwolves","Los Angeles Lakers",93,107,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Phoenix Suns","Miami Heat",106,101,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"San Antonio Spurs","New Orleans Hornets",97,85,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Orlando Magic","New York Knicks",112,102,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Toronto Raptors","Philadelphia 76ers",105,103,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Memphis Grizzlies","Portland Trail Blazers",98,110,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Cleveland Cavaliers","Sacramento Kings",93,91,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Utah Jazz","Seattle SuperSonics",103,101,"Fri, Nov 9, 2007",2007-11-09,0,0,0,2008
"Denver Nuggets","Washington Wizards",118,92,"Fri, Nov 9, 2007",2007-11-09,0,0,1,2008
"Toronto Raptors","Chicago Bulls",101,71,"Sat, Nov 10, 2007",2007-11-10,0,1,0,2008
"Denver Nuggets","Indiana Pacers",113,106,"Sat, Nov 10, 2007",2007-11-10,0,1,1,2008
"Boston Celtics","New Jersey Nets",112,101,"Sat, Nov 10, 2007",2007-11-10,0,1,0,2008
"Phoenix Suns","Orlando Magic",106,96,"Sat, Nov 10, 2007",2007-11-10,0,1,1,2008
"Dallas Mavericks","Portland Trail Blazers",82,91,"Sat, Nov 10, 2007",2007-11-10,0,0,1,2008
"Minnesota Timberwolves","Sacramento Kings",93,100,"Sat, Nov 10, 2007",2007-11-10,0,1,1,2008
"Memphis Grizzlies","Utah Jazz",94,118,"Sat, Nov 10, 2007",2007-11-10,0,1,1,2008
"Washington Wizards","Atlanta Hawks",101,90,"Sun, Nov 11, 2007",2007-11-11,0,0,0,2008
"Houston Rockets","Charlotte Bobcats",85,82,"Sun, Nov 11, 2007",2007-11-11,0,0,0,2008
"Cleveland Cavaliers","Los Angeles Clippers",103,95,"Sun, Nov 11, 2007",2007-11-11,0,0,0,2008
"Miami Heat","New York Knicks",75,72,"Sun, Nov 11, 2007",2007-11-11,0,0,0,2008
"New Orleans Hornets","Philadelphia 76ers",93,72,"Sun, Nov 11, 2007",2007-11-11,0,0,0,2008
"Milwaukee Bucks","San Antonio Spurs",88,113,"Sun, Nov 11, 2007",2007-11-11,0,0,0,2008
"Detroit Pistons","Seattle SuperSonics",107,103,"Sun, Nov 11, 2007",2007-11-11,0,0,0,2008
"Cleveland Cavaliers","Denver Nuggets",100,122,"Mon, Nov 12, 2007",2007-11-12,0,1,0,2008
"New Orleans Hornets","New Jersey Nets",84,82,"Mon, Nov 12, 2007",2007-11-12,0,1,0,2008
"Sacramento Kings","Utah Jazz",93,117,"Mon, Nov 12, 2007",2007-11-12,0,0,0,2008
"Miami Heat","Charlotte Bobcats",76,91,"Tue, Nov 13, 2007",2007-11-13,0,0,0,2008
"Philadelphia 76ers","Dallas Mavericks",84,99,"Tue, Nov 13, 2007",2007-11-13,0,0,0,2008
"Boston Celtics","Indiana Pacers",101,86,"Tue, Nov 13, 2007",2007-11-13,0,0,0,2008
"Houston Rockets","Memphis Grizzlies",99,105,"Tue, Nov 13, 2007",2007-11-13,0,0,0,2008
"Seattle SuperSonics","Orlando Magic",76,103,"Tue, Nov 13, 2007",2007-11-13,0,0,0,2008
"New York Knicks","Phoenix Suns",102,113,"Tue, Nov 13, 2007",2007-11-13,0,0,0,2008
"Detroit Pistons","Portland Trail Blazers",94,102,"Tue, Nov 13, 2007",2007-11-13,0,0,0,2008
"Los Angeles Lakers","San Antonio Spurs",92,107,"Tue, Nov 13, 2007",2007-11-13,0,0,0,2008
"Charlotte Bobcats","Atlanta Hawks",109,117,"Wed, Nov 14, 2007",2007-11-14,0,1,0,2008
"New Jersey Nets","Boston Celtics",69,91,"Wed, Nov 14, 2007",2007-11-14,0,0,1,2008
"Orlando Magic","Cleveland Cavaliers",117,116,"Wed, Nov 14, 2007",2007-11-14,0,1,0,2008
"Portland Trail Blazers","Denver Nuggets",93,110,"Wed, Nov 14, 2007",2007-11-14,0,1,0,2008
"Detroit Pistons","Golden State Warriors",111,104,"Wed, Nov 14, 2007",2007-11-14,0,1,0,2008
"Los Angeles Lakers","Houston Rockets",93,90,"Wed, Nov 14, 2007",2007-11-14,0,1,1,2008
"New York Knicks","Los Angeles Clippers",81,84,"Wed, Nov 14, 2007",2007-11-14,0,1,0,2008
"Seattle SuperSonics","Miami Heat",104,95,"Wed, Nov 14, 2007",2007-11-14,0,1,1,2008
"Memphis Grizzlies","Milwaukee Bucks",99,102,"Wed, Nov 14, 2007",2007-11-14,0,1,0,2008
"Sacramento Kings","Minnesota Timberwolves",103,108,"Wed, Nov 14, 2007",2007-11-14,0,0,0,2008
"Philadelphia 76ers","New Orleans Hornets",76,95,"Wed, Nov 14, 2007",2007-11-14,0,1,0,2008
"Utah Jazz","Toronto Raptors",92,88,"Wed, Nov 14, 2007",2007-11-14,0,0,0,2008
"Indiana Pacers","Washington Wizards",90,103,"Wed, Nov 14, 2007",2007-11-14,0,1,0,2008
"San Antonio Spurs","Dallas Mavericks",92,105,"Thu, Nov 15, 2007",2007-11-15,0,0,0,2008
"Chicago Bulls","Phoenix Suns",102,112,"Thu, Nov 15, 2007",2007-11-15,0,0,0,2008
"Seattle SuperSonics","Atlanta Hawks",126,123,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Miami Heat","Boston Celtics",91,92,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Utah Jazz","Cleveland Cavaliers",94,99,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Los Angeles Clippers","Golden State Warriors",105,122,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Detroit Pistons","Los Angeles Lakers",91,103,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"New Orleans Hornets","Memphis Grizzlies",120,118,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Washington Wizards","Minnesota Timberwolves",105,89,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Orlando Magic","New Jersey Nets",95,70,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Portland Trail Blazers","Philadelphia 76ers",88,92,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"New York Knicks","Sacramento Kings",118,123,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Houston Rockets","San Antonio Spurs",84,90,"Fri, Nov 16, 2007",2007-11-16,0,0,1,2008
"Indiana Pacers","Toronto Raptors",101,110,"Fri, Nov 16, 2007",2007-11-16,0,0,0,2008
"Seattle SuperSonics","Charlotte Bobcats",84,100,"Sat, Nov 17, 2007",2007-11-17,0,1,0,2008
"Memphis Grizzlies","Dallas Mavericks",105,108,"Sat, Nov 17, 2007",2007-11-17,0,1,0,2008
"New York Knicks","Denver Nuggets",83,115,"Sat, Nov 17, 2007",2007-11-17,0,1,0,2008
"Phoenix Suns","Houston Rockets",115,105,"Sat, Nov 17, 2007",2007-11-17,0,0,1,2008
"Utah Jazz","Indiana Pacers",97,117,"Sat, Nov 17, 2007",2007-11-17,0,1,1,2008
"Chicago Bulls","Los Angeles Clippers",92,73,"Sat, Nov 17, 2007",2007-11-17,0,0,1,2008
"Atlanta Hawks","Milwaukee Bucks",96,105,"Sat, Nov 17, 2007",2007-11-17,0,1,0,2008
"New Orleans Hornets","Minnesota Timberwolves",100,82,"Sat, Nov 17, 2007",2007-11-17,0,1,1,2008
"Miami Heat","New Jersey Nets",91,87,"Sat, Nov 17, 2007",2007-11-17,0,1,1,2008
"Portland Trail Blazers","Washington Wizards",90,109,"Sat, Nov 17, 2007",2007-11-17,0,1,1,2008
"Chicago Bulls","Los Angeles Lakers",78,106,"Sun, Nov 18, 2007",2007-11-18,0,1,0,2008
"Boston Celtics","Orlando Magic",102,104,"Sun, Nov 18, 2007",2007-11-18,0,0,0,2008
"Detroit Pistons","Sacramento Kings",95,105,"Sun, Nov 18, 2007",2007-11-18,0,0,0,2008
"Golden State Warriors","Toronto Raptors",106,100,"Sun, Nov 18, 2007",2007-11-18,0,0,0,2008
"Portland Trail Blazers","Charlotte Bobcats",92,101,"Mon, Nov 19, 2007",2007-11-19,0,0,0,2008
"Seattle SuperSonics","Memphis Grizzlies",108,125,"Mon, Nov 19, 2007",2007-11-19,0,0,0,2008
"Orlando Magic","New Orleans Hornets",95,88,"Mon, Nov 19, 2007",2007-11-19,0,1,0,2008
"New Jersey Nets","Utah Jazz",75,102,"Mon, Nov 19, 2007",2007-11-19,0,0,0,2008
"San Antonio Spurs","Atlanta Hawks",95,83,"Tue, Nov 20, 2007",2007-11-20,0,0,0,2008
"Milwaukee Bucks","Cleveland Cavaliers",111,107,"Tue, Nov 20, 2007",2007-11-20,0,0,0,2008
"Toronto Raptors","Dallas Mavericks",99,105,"Tue, Nov 20, 2007",2007-11-20,0,0,0,2008
"Chicago Bulls","Denver Nuggets",91,112,"Tue, Nov 20, 2007",2007-11-20,0,0,0,2008
"Los Angeles Lakers","Indiana Pacers",134,114,"Tue, Nov 20, 2007",2007-11-20,0,0,0,2008
"Golden State Warriors","New York Knicks",108,82,"Tue, Nov 20, 2007",2007-11-20,0,0,0,2008
"Phoenix Suns","Sacramento Kings",100,98,"Tue, Nov 20, 2007",2007-11-20,0,0,0,2008
"Philadelphia 76ers","Washington Wizards",101,116,"Tue, Nov 20, 2007",2007-11-20,0,0,0,2008
"Golden State Warriors","Boston Celtics",82,105,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"Washington Wizards","Charlotte Bobcats",114,111,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"New York Knicks","Detroit Pistons",86,98,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"Dallas Mavericks","Houston Rockets",100,94,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"Denver Nuggets","Los Angeles Clippers",90,101,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"Toronto Raptors","Memphis Grizzlies",95,89,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"Atlanta Hawks","Miami Heat",82,79,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"Los Angeles Lakers","Milwaukee Bucks",103,110,"Wed, Nov 21, 2007",2007-11-21,0,1,1,2008
"Cleveland Cavaliers","Minnesota Timberwolves",97,86,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"Indiana Pacers","New Orleans Hornets",105,93,"Wed, Nov 21, 2007",2007-11-21,0,1,0,2008
"Sacramento Kings","Phoenix Suns",111,127,"Wed, Nov 21, 2007",2007-11-21,0,1,1,2008
"New Jersey Nets","Portland Trail Blazers",106,101,"Wed, Nov 21, 2007",2007-11-21,0,0,0,2008
"Orlando Magic","San Antonio Spurs",110,128,"Wed, Nov 21, 2007",2007-11-21,0,0,1,2008
"Los Angeles Lakers","Boston Celtics",94,107,"Fri, Nov 23, 2007",2007-11-23,0,0,0,2008
"Minnesota Timberwolves","Denver Nuggets",93,99,"Fri, Nov 23, 2007",2007-11-23,0,0,0,2008
"Philadelphia 76ers","Detroit Pistons",78,83,"Fri, Nov 23, 2007",2007-11-23,0,0,0,2008
