"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Detroit Pistons","Atlanta Hawks",106,94,"Tue, Oct 27, 2015",2015-10-27,0,0,0,2016
"Cleveland Cavaliers","Chicago Bulls",95,97,"Tue, Oct 27, 2015",2015-10-27,0,0,0,2016
"New Orleans Pelicans","Golden State Warriors",95,111,"Tue, Oct 27, 2015",2015-10-27,0,0,0,2016
"Philadelphia 76ers","Boston Celtics",95,112,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"Chicago Bulls","Brooklyn Nets",115,100,"Wed, Oct 28, 2015",2015-10-28,0,1,0,2016
"Utah Jazz","Detroit Pistons",87,92,"Wed, Oct 28, 2015",2015-10-28,0,0,1,2016
"Denver Nuggets","Houston Rockets",105,85,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"Minnesota Timberwolves","Los Angeles Lakers",112,111,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"Cleveland Cavaliers","Memphis Grizzlies",106,76,"Wed, Oct 28, 2015",2015-10-28,0,1,0,2016
"Charlotte Hornets","Miami Heat",94,104,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"New York Knicks","Milwaukee Bucks",122,97,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"San Antonio Spurs","Oklahoma City Thunder",106,112,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"Washington Wizards","Orlando Magic",88,87,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"Dallas Mavericks","Phoenix Suns",111,95,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"New Orleans Pelicans","Portland Trail Blazers",94,112,"Wed, Oct 28, 2015",2015-10-28,0,1,0,2016
"Los Angeles Clippers","Sacramento Kings",111,104,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"Indiana Pacers","Toronto Raptors",99,106,"Wed, Oct 28, 2015",2015-10-28,0,0,0,2016
"Memphis Grizzlies","Indiana Pacers",112,103,"Thu, Oct 29, 2015",2015-10-29,0,1,1,2016
"Dallas Mavericks","Los Angeles Clippers",88,104,"Thu, Oct 29, 2015",2015-10-29,0,1,1,2016
"Atlanta Hawks","New York Knicks",112,101,"Thu, Oct 29, 2015",2015-10-29,0,0,1,2016
"Charlotte Hornets","Atlanta Hawks",94,97,"Fri, Oct 30, 2015",2015-10-30,0,0,1,2016
"Toronto Raptors","Boston Celtics",113,103,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Miami Heat","Cleveland Cavaliers",92,102,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Minnesota Timberwolves","Denver Nuggets",95,78,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Chicago Bulls","Detroit Pistons",94,98,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Golden State Warriors","Houston Rockets",112,92,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Washington Wizards","Milwaukee Bucks",118,113,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Oklahoma City Thunder","Orlando Magic",139,136,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Utah Jazz","Philadelphia 76ers",99,71,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Portland Trail Blazers","Phoenix Suns",92,110,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Los Angeles Lakers","Sacramento Kings",114,132,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Brooklyn Nets","San Antonio Spurs",75,102,"Fri, Oct 30, 2015",2015-10-30,0,0,0,2016
"Utah Jazz","Indiana Pacers",97,76,"Sat, Oct 31, 2015",2015-10-31,0,1,0,2016
"Sacramento Kings","Los Angeles Clippers",109,114,"Sat, Oct 31, 2015",2015-10-31,0,1,0,2016
"Brooklyn Nets","Memphis Grizzlies",91,101,"Sat, Oct 31, 2015",2015-10-31,0,1,0,2016
"Golden State Warriors","New Orleans Pelicans",134,120,"Sat, Oct 31, 2015",2015-10-31,0,1,0,2016
"Phoenix Suns","Portland Trail Blazers",101,90,"Sat, Oct 31, 2015",2015-10-31,0,1,1,2016
"New York Knicks","Washington Wizards",117,110,"Sat, Oct 31, 2015",2015-10-31,0,0,1,2016
"San Antonio Spurs","Boston Celtics",95,87,"Sun, Nov 1, 2015",2015-11-01,0,0,0,2016
"Orlando Magic","Chicago Bulls",87,92,"Sun, Nov 1, 2015",2015-11-01,0,0,0,2016
"Atlanta Hawks","Charlotte Hornets",94,92,"Sun, Nov 1, 2015",2015-11-01,0,0,0,2016
"Dallas Mavericks","Los Angeles Lakers",103,93,"Sun, Nov 1, 2015",2015-11-01,0,0,0,2016
"Houston Rockets","Miami Heat",89,109,"Sun, Nov 1, 2015",2015-11-01,0,0,0,2016
"Denver Nuggets","Oklahoma City Thunder",93,117,"Sun, Nov 1, 2015",2015-11-01,0,0,0,2016
"Milwaukee Bucks","Toronto Raptors",87,106,"Sun, Nov 1, 2015",2015-11-01,0,0,0,2016
"Milwaukee Bucks","Brooklyn Nets",103,96,"Mon, Nov 2, 2015",2015-11-02,0,1,0,2016
"Memphis Grizzlies","Golden State Warriors",69,119,"Mon, Nov 2, 2015",2015-11-02,0,0,0,2016
"Oklahoma City Thunder","Houston Rockets",105,110,"Mon, Nov 2, 2015",2015-11-02,0,1,1,2016
"Phoenix Suns","Los Angeles Clippers",96,102,"Mon, Nov 2, 2015",2015-11-02,0,0,0,2016
"Portland Trail Blazers","Minnesota Timberwolves",106,101,"Mon, Nov 2, 2015",2015-11-02,0,0,0,2016
"San Antonio Spurs","New York Knicks",94,84,"Mon, Nov 2, 2015",2015-11-02,0,1,0,2016
"Cleveland Cavaliers","Philadelphia 76ers",107,100,"Mon, Nov 2, 2015",2015-11-02,0,0,0,2016
"Chicago Bulls","Charlotte Hornets",105,130,"Tue, Nov 3, 2015",2015-11-03,0,0,0,2016
"Toronto Raptors","Dallas Mavericks",102,91,"Tue, Nov 3, 2015",2015-11-03,0,0,0,2016
"Indiana Pacers","Detroit Pistons",94,82,"Tue, Nov 3, 2015",2015-11-03,0,0,0,2016
"Denver Nuggets","Los Angeles Lakers",120,109,"Tue, Nov 3, 2015",2015-11-03,0,0,0,2016
"Atlanta Hawks","Miami Heat",98,92,"Tue, Nov 3, 2015",2015-11-03,0,0,0,2016
