"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Boston Celtics","Cleveland Cavaliers",99,102,"Tue, Oct 17, 2017",2017-10-17,0,0,0,2018
"Houston Rockets","Golden State Warriors",122,121,"Tue, Oct 17, 2017",2017-10-17,0,0,0,2018
"Milwaukee Bucks","Boston Celtics",108,100,"Wed, Oct 18, 2017",2017-10-18,0,0,1,2018
"Atlanta Hawks","Dallas Mavericks",117,111,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"Charlotte Hornets","Detroit Pistons",90,102,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"Brooklyn Nets","Indiana Pacers",131,140,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"New Orleans Pelicans","Memphis Grizzlies",91,103,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"Miami Heat","Orlando Magic",109,116,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"Portland Trail Blazers","Phoenix Suns",124,76,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"Houston Rockets","Sacramento Kings",105,100,"Wed, Oct 18, 2017",2017-10-18,0,1,0,2018
"Minnesota Timberwolves","San Antonio Spurs",99,107,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"Denver Nuggets","Utah Jazz",96,106,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"Philadelphia 76ers","Washington Wizards",115,120,"Wed, Oct 18, 2017",2017-10-18,0,0,0,2018
"Los Angeles Clippers","Los Angeles Lakers",108,92,"Thu, Oct 19, 2017",2017-10-19,0,0,0,2018
"New York Knicks","Oklahoma City Thunder",84,105,"Thu, Oct 19, 2017",2017-10-19,0,0,0,2018
"Chicago Bulls","Toronto Raptors",100,117,"Thu, Oct 19, 2017",2017-10-19,0,0,0,2018
"Orlando Magic","Brooklyn Nets",121,126,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"Atlanta Hawks","Charlotte Hornets",91,109,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"Sacramento Kings","Dallas Mavericks",93,88,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"Portland Trail Blazers","Indiana Pacers",114,96,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"Cleveland Cavaliers","Milwaukee Bucks",116,97,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"Utah Jazz","Minnesota Timberwolves",97,100,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"Golden State Warriors","New Orleans Pelicans",128,120,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"Boston Celtics","Philadelphia 76ers",102,92,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"Los Angeles Lakers","Phoenix Suns",132,130,"Fri, Oct 20, 2017",2017-10-20,0,1,0,2018
"Detroit Pistons","Washington Wizards",111,115,"Fri, Oct 20, 2017",2017-10-20,0,0,0,2018
"San Antonio Spurs","Chicago Bulls",87,77,"Sat, Oct 21, 2017",2017-10-21,0,0,0,2018
"Orlando Magic","Cleveland Cavaliers",114,93,"Sat, Oct 21, 2017",2017-10-21,0,1,1,2018
"Sacramento Kings","Denver Nuggets",79,96,"Sat, Oct 21, 2017",2017-10-21,0,1,0,2018
"Dallas Mavericks","Houston Rockets",91,107,"Sat, Oct 21, 2017",2017-10-21,0,1,0,2018
"Phoenix Suns","Los Angeles Clippers",88,130,"Sat, Oct 21, 2017",2017-10-21,0,1,0,2018
"Golden State Warriors","Memphis Grizzlies",101,111,"Sat, Oct 21, 2017",2017-10-21,0,1,0,2018
"Indiana Pacers","Miami Heat",108,112,"Sat, Oct 21, 2017",2017-10-21,0,1,0,2018
"Portland Trail Blazers","Milwaukee Bucks",110,113,"Sat, Oct 21, 2017",2017-10-21,0,1,1,2018
"Detroit Pistons","New York Knicks",111,107,"Sat, Oct 21, 2017",2017-10-21,0,1,0,2018
"Philadelphia 76ers","Toronto Raptors",94,128,"Sat, Oct 21, 2017",2017-10-21,0,1,0,2018
"Oklahoma City Thunder","Utah Jazz",87,96,"Sat, Oct 21, 2017",2017-10-21,0,0,1,2018
"Atlanta Hawks","Brooklyn Nets",104,116,"Sun, Oct 22, 2017",2017-10-22,0,0,0,2018
"New Orleans Pelicans","Los Angeles Lakers",119,112,"Sun, Oct 22, 2017",2017-10-22,0,0,0,2018
"Minnesota Timberwolves","Oklahoma City Thunder",115,113,"Sun, Oct 22, 2017",2017-10-22,0,0,1,2018
"Golden State Warriors","Dallas Mavericks",133,103,"Mon, Oct 23, 2017",2017-10-23,0,0,0,2018
"Washington Wizards","Denver Nuggets",109,104,"Mon, Oct 23, 2017",2017-10-23,0,0,0,2018
"Philadelphia 76ers","Detroit Pistons",97,86,"Mon, Oct 23, 2017",2017-10-23,0,0,0,2018
"Memphis Grizzlies","Houston Rockets",98,90,"Mon, Oct 23, 2017",2017-10-23,0,0,0,2018
"Atlanta Hawks","Miami Heat",93,104,"Mon, Oct 23, 2017",2017-10-23,0,1,0,2018
"Charlotte Hornets","Milwaukee Bucks",94,103,"Mon, Oct 23, 2017",2017-10-23,0,0,0,2018
"Sacramento Kings","Phoenix Suns",115,117,"Mon, Oct 23, 2017",2017-10-23,0,0,0,2018
"Toronto Raptors","San Antonio Spurs",97,101,"Mon, Oct 23, 2017",2017-10-23,0,0,0,2018
