"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Houston Rockets","Los Angeles Lakers",108,90,"Tue, Oct 28, 2014",2014-10-28,0,0,0,2015
"Orlando Magic","New Orleans Pelicans",84,101,"Tue, Oct 28, 2014",2014-10-28,0,0,0,2015
"Dallas Mavericks","San Antonio Spurs",100,101,"Tue, Oct 28, 2014",2014-10-28,0,0,0,2015
"Brooklyn Nets","Boston Celtics",105,121,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Milwaukee Bucks","Charlotte Hornets",106,108,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Detroit Pistons","Denver Nuggets",79,89,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Philadelphia 76ers","Indiana Pacers",91,103,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Minnesota Timberwolves","Memphis Grizzlies",101,105,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Washington Wizards","Miami Heat",95,107,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Chicago Bulls","New York Knicks",104,80,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Los Angeles Lakers","Phoenix Suns",99,119,"Wed, Oct 29, 2014",2014-10-29,0,1,0,2015
"Oklahoma City Thunder","Portland Trail Blazers",89,106,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Golden State Warriors","Sacramento Kings",95,77,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Atlanta Hawks","Toronto Raptors",102,109,"Wed, Oct 29, 2014",2014-10-29,0,0,0,2015
"Houston Rockets","Utah Jazz",104,93,"Wed, Oct 29, 2014",2014-10-29,0,1,0,2015
"New York Knicks","Cleveland Cavaliers",95,90,"Thu, Oct 30, 2014",2014-10-30,0,1,0,2015
"Utah Jazz","Dallas Mavericks",102,120,"Thu, Oct 30, 2014",2014-10-30,0,1,0,2015
