"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Orlando Magic","Indiana Pacers",87,97,"Tue, Oct 29, 2013",2013-10-29,0,0,0,2014
"Los Angeles Clippers","Los Angeles Lakers",103,116,"Tue, Oct 29, 2013",2013-10-29,0,0,0,2014
"Chicago Bulls","Miami Heat",95,107,"Tue, Oct 29, 2013",2013-10-29,0,0,0,2014
"Brooklyn Nets","Cleveland Cavaliers",94,98,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Atlanta Hawks","Dallas Mavericks",109,118,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Washington Wizards","Detroit Pistons",102,113,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Los Angeles Lakers","Golden State Warriors",94,125,"Wed, Oct 30, 2013",2013-10-30,0,1,0,2014
"Charlotte Bobcats","Houston Rockets",83,96,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Orlando Magic","Minnesota Timberwolves",115,120,"Wed, Oct 30, 2013",2013-10-30,0,1,0,2014
"Indiana Pacers","New Orleans Pelicans",95,90,"Wed, Oct 30, 2013",2013-10-30,0,1,0,2014
"Milwaukee Bucks","New York Knicks",83,90,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Miami Heat","Philadelphia 76ers",110,114,"Wed, Oct 30, 2013",2013-10-30,0,1,0,2014
"Portland Trail Blazers","Phoenix Suns",91,104,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Denver Nuggets","Sacramento Kings",88,90,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Memphis Grizzlies","San Antonio Spurs",94,101,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Boston Celtics","Toronto Raptors",87,93,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"Oklahoma City Thunder","Utah Jazz",101,98,"Wed, Oct 30, 2013",2013-10-30,0,0,0,2014
"New York Knicks","Chicago Bulls",81,82,"Thu, Oct 31, 2013",2013-10-31,0,1,0,2014
"Golden State Warriors","Los Angeles Clippers",115,126,"Thu, Oct 31, 2013",2013-10-31,0,1,0,2014
"Toronto Raptors","Atlanta Hawks",95,102,"Fri, Nov 1, 2013",2013-11-01,0,0,0,2014
"Milwaukee Bucks","Boston Celtics",105,98,"Fri, Nov 1, 2013",2013-11-01,0,0,0,2014
"Miami Heat","Brooklyn Nets",100,101,"Fri, Nov 1, 2013",2013-11-01,0,0,0,2014
"Cleveland Cavaliers","Charlotte Bobcats",84,90,"Fri, Nov 1, 2013",2013-11-01,0,0,0,2014
"Portland Trail Blazers","Denver Nuggets",113,98,"Fri, Nov 1, 2013",2013-11-01,0,0,0,2014
