"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Miami Heat","Boston Celtics",80,88,"Tue, Oct 26, 2010",2010-10-26,0,0,0,2011
"Houston Rockets","Los Angeles Lakers",110,112,"Tue, Oct 26, 2010",2010-10-26,0,0,0,2011
"Phoenix Suns","Portland Trail Blazers",92,106,"Tue, Oct 26, 2010",2010-10-26,0,0,0,2011
"Boston Celtics","Cleveland Cavaliers",87,95,"Wed, Oct 27, 2010",2010-10-27,0,1,0,2011
"Charlotte Bobcats","Dallas Mavericks",86,101,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"Utah Jazz","Denver Nuggets",88,110,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"Houston Rockets","Golden State Warriors",128,132,"Wed, Oct 27, 2010",2010-10-27,0,1,0,2011
"Portland Trail Blazers","Los Angeles Clippers",98,88,"Wed, Oct 27, 2010",2010-10-27,0,1,0,2011
"Atlanta Hawks","Memphis Grizzlies",119,104,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"Sacramento Kings","Minnesota Timberwolves",117,116,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"Detroit Pistons","New Jersey Nets",98,101,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"Milwaukee Bucks","New Orleans Hornets",91,95,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"Chicago Bulls","Oklahoma City Thunder",95,106,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"Miami Heat","Philadelphia 76ers",97,87,"Wed, Oct 27, 2010",2010-10-27,0,1,0,2011
"Indiana Pacers","San Antonio Spurs",109,122,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"New York Knicks","Toronto Raptors",98,93,"Wed, Oct 27, 2010",2010-10-27,0,0,0,2011
"Washington Wizards","Orlando Magic",83,112,"Thu, Oct 28, 2010",2010-10-28,0,0,0,2011
"Phoenix Suns","Utah Jazz",110,94,"Thu, Oct 28, 2010",2010-10-28,0,0,1,2011
"New York Knicks","Boston Celtics",101,105,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Indiana Pacers","Charlotte Bobcats",104,101,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Memphis Grizzlies","Dallas Mavericks",91,90,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Oklahoma City Thunder","Detroit Pistons",105,104,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Los Angeles Clippers","Golden State Warriors",91,109,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Orlando Magic","Miami Heat",70,96,"Fri, Oct 29, 2010",2010-10-29,0,1,0,2011
"Milwaukee Bucks","Minnesota Timberwolves",85,96,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Sacramento Kings","New Jersey Nets",100,106,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Denver Nuggets","New Orleans Hornets",95,101,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Atlanta Hawks","Philadelphia 76ers",104,101,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Los Angeles Lakers","Phoenix Suns",114,106,"Fri, Oct 29, 2010",2010-10-29,0,0,1,2011
"Cleveland Cavaliers","Toronto Raptors",81,101,"Fri, Oct 29, 2010",2010-10-29,0,0,0,2011
"Washington Wizards","Atlanta Hawks",95,99,"Sat, Oct 30, 2010",2010-10-30,0,0,1,2011
"Detroit Pistons","Chicago Bulls",91,101,"Sat, Oct 30, 2010",2010-10-30,0,1,0,2011
"Sacramento Kings","Cleveland Cavaliers",107,104,"Sat, Oct 30, 2010",2010-10-30,0,1,1,2011
"Denver Nuggets","Houston Rockets",107,94,"Sat, Oct 30, 2010",2010-10-30,0,1,0,2011
"Philadelphia 76ers","Indiana Pacers",86,99,"Sat, Oct 30, 2010",2010-10-30,0,1,1,2011
"Minnesota Timberwolves","Memphis Grizzlies",89,109,"Sat, Oct 30, 2010",2010-10-30,0,1,1,2011
"Charlotte Bobcats","Milwaukee Bucks",88,98,"Sat, Oct 30, 2010",2010-10-30,0,1,1,2011
"Portland Trail Blazers","New York Knicks",100,95,"Sat, Oct 30, 2010",2010-10-30,0,0,1,2011
"New Orleans Hornets","San Antonio Spurs",99,90,"Sat, Oct 30, 2010",2010-10-30,0,1,0,2011
"Dallas Mavericks","Los Angeles Clippers",99,83,"Sun, Oct 31, 2010",2010-10-31,0,0,0,2011
"Golden State Warriors","Los Angeles Lakers",83,107,"Sun, Oct 31, 2010",2010-10-31,0,0,0,2011
"Miami Heat","New Jersey Nets",101,78,"Sun, Oct 31, 2010",2010-10-31,0,0,0,2011
"Utah Jazz","Oklahoma City Thunder",120,99,"Sun, Oct 31, 2010",2010-10-31,0,0,0,2011
"Portland Trail Blazers","Chicago Bulls",98,110,"Mon, Nov 1, 2010",2010-11-01,0,0,0,2011
"San Antonio Spurs","Los Angeles Clippers",97,88,"Mon, Nov 1, 2010",2010-11-01,0,0,1,2011
"Toronto Raptors","Sacramento Kings",108,111,"Mon, Nov 1, 2010",2010-11-01,0,0,0,2011
"Atlanta Hawks","Cleveland Cavaliers",100,88,"Tue, Nov 2, 2010",2010-11-02,0,0,0,2011
"Boston Celtics","Detroit Pistons",109,86,"Tue, Nov 2, 2010",2010-11-02,0,0,0,2011
"Memphis Grizzlies","Los Angeles Lakers",105,124,"Tue, Nov 2, 2010",2010-11-02,0,0,0,2011
"Minnesota Timberwolves","Miami Heat",97,129,"Tue, Nov 2, 2010",2010-11-02,0,0,0,2011
"Portland Trail Blazers","Milwaukee Bucks",90,76,"Tue, Nov 2, 2010",2010-11-02,0,1,0,2011
"Philadelphia 76ers","Washington Wizards",115,116,"Tue, Nov 2, 2010",2010-11-02,0,0,0,2011
"Detroit Pistons","Atlanta Hawks",85,94,"Wed, Nov 3, 2010",2010-11-03,0,1,1,2011
"Milwaukee Bucks","Boston Celtics",102,105,"Wed, Nov 3, 2010",2010-11-03,0,1,1,2011
"Dallas Mavericks","Denver Nuggets",102,101,"Wed, Nov 3, 2010",2010-11-03,0,0,0,2011
"Memphis Grizzlies","Golden State Warriors",109,115,"Wed, Nov 3, 2010",2010-11-03,0,1,0,2011
"New Orleans Hornets","Houston Rockets",107,99,"Wed, Nov 3, 2010",2010-11-03,0,0,0,2011
"Oklahoma City Thunder","Los Angeles Clippers",92,107,"Wed, Nov 3, 2010",2010-11-03,0,0,0,2011
"Charlotte Bobcats","New Jersey Nets",85,83,"Wed, Nov 3, 2010",2010-11-03,0,0,0,2011
"Minnesota Timberwolves","Orlando Magic",86,128,"Wed, Nov 3, 2010",2010-11-03,0,1,0,2011
"Indiana Pacers","Philadelphia 76ers",75,101,"Wed, Nov 3, 2010",2010-11-03,0,0,1,2011
"San Antonio Spurs","Phoenix Suns",112,110,"Wed, Nov 3, 2010",2010-11-03,0,0,0,2011
"Los Angeles Lakers","Sacramento Kings",112,100,"Wed, Nov 3, 2010",2010-11-03,0,1,0,2011
"Toronto Raptors","Utah Jazz",108,125,"Wed, Nov 3, 2010",2010-11-03,0,0,0,2011
"New York Knicks","Chicago Bulls",120,112,"Thu, Nov 4, 2010",2010-11-04,0,0,0,2011
"Oklahoma City Thunder","Portland Trail Blazers",107,106,"Thu, Nov 4, 2010",2010-11-04,0,1,0,2011
"Chicago Bulls","Boston Celtics",105,110,"Fri, Nov 5, 2010",2010-11-05,0,1,0,2011
"Los Angeles Clippers","Denver Nuggets",104,111,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Charlotte Bobcats","Detroit Pistons",90,97,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Utah Jazz","Golden State Warriors",78,85,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Milwaukee Bucks","Indiana Pacers",94,90,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Toronto Raptors","Los Angeles Lakers",103,108,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Atlanta Hawks","Minnesota Timberwolves",113,103,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Miami Heat","New Orleans Hornets",93,96,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Washington Wizards","New York Knicks",91,112,"Fri, Nov 5, 2010",2010-11-05,0,0,1,2011
"New Jersey Nets","Orlando Magic",90,105,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Cleveland Cavaliers","Philadelphia 76ers",123,116,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Memphis Grizzlies","Phoenix Suns",118,123,"Fri, Nov 5, 2010",2010-11-05,0,0,0,2011
"Orlando Magic","Charlotte Bobcats",91,88,"Sat, Nov 6, 2010",2010-11-06,0,1,1,2011
"Denver Nuggets","Dallas Mavericks",103,92,"Sat, Nov 6, 2010",2010-11-06,0,1,0,2011
"New Jersey Nets","Miami Heat",89,101,"Sat, Nov 6, 2010",2010-11-06,0,1,1,2011
"New Orleans Hornets","Milwaukee Bucks",87,81,"Sat, Nov 6, 2010",2010-11-06,0,1,1,2011
"Toronto Raptors","Portland Trail Blazers",84,97,"Sat, Nov 6, 2010",2010-11-06,0,1,0,2011
"Memphis Grizzlies","Sacramento Kings",100,91,"Sat, Nov 6, 2010",2010-11-06,0,1,0,2011
"Houston Rockets","San Antonio Spurs",121,124,"Sat, Nov 6, 2010",2010-11-06,0,0,0,2011
"Los Angeles Clippers","Utah Jazz",107,109,"Sat, Nov 6, 2010",2010-11-06,0,1,1,2011
"Cleveland Cavaliers","Washington Wizards",107,102,"Sat, Nov 6, 2010",2010-11-06,0,1,1,2011
"Phoenix Suns","Atlanta Hawks",118,114,"Sun, Nov 7, 2010",2010-11-07,0,0,0,2011
"Golden State Warriors","Detroit Pistons",97,102,"Sun, Nov 7, 2010",2010-11-07,0,0,0,2011
"Minnesota Timberwolves","Houston Rockets",94,120,"Sun, Nov 7, 2010",2010-11-07,0,0,1,2011
"Portland Trail Blazers","Los Angeles Lakers",96,121,"Sun, Nov 7, 2010",2010-11-07,0,1,0,2011
"Philadelphia 76ers","New York Knicks",106,96,"Sun, Nov 7, 2010",2010-11-07,0,0,0,2011
"Boston Celtics","Oklahoma City Thunder",92,83,"Sun, Nov 7, 2010",2010-11-07,0,0,0,2011
"San Antonio Spurs","Charlotte Bobcats",95,91,"Mon, Nov 8, 2010",2010-11-08,0,0,0,2011
"Denver Nuggets","Chicago Bulls",92,94,"Mon, Nov 8, 2010",2010-11-08,0,0,0,2011
"Boston Celtics","Dallas Mavericks",87,89,"Mon, Nov 8, 2010",2010-11-08,0,1,0,2011
"Phoenix Suns","Memphis Grizzlies",99,109,"Mon, Nov 8, 2010",2010-11-08,0,1,0,2011
"Atlanta Hawks","Orlando Magic",89,93,"Mon, Nov 8, 2010",2010-11-08,0,1,0,2011
"Golden State Warriors","Toronto Raptors",109,102,"Mon, Nov 8, 2010",2010-11-08,0,1,0,2011
"Denver Nuggets","Indiana Pacers",113,144,"Tue, Nov 9, 2010",2010-11-09,0,1,0,2011
"Minnesota Timberwolves","Los Angeles Lakers",94,99,"Tue, Nov 9, 2010",2010-11-09,0,0,0,2011
"Utah Jazz","Miami Heat",116,114,"Tue, Nov 9, 2010",2010-11-09,0,0,0,2011
"New York Knicks","Milwaukee Bucks",80,107,"Tue, Nov 9, 2010",2010-11-09,0,0,0,2011
"Cleveland Cavaliers","New Jersey Nets",93,91,"Tue, Nov 9, 2010",2010-11-09,0,0,0,2011
"Los Angeles Clippers","New Orleans Hornets",82,101,"Tue, Nov 9, 2010",2010-11-09,0,0,0,2011
"Detroit Pistons","Portland Trail Blazers",78,100,"Tue, Nov 9, 2010",2010-11-09,0,0,0,2011
"Milwaukee Bucks","Atlanta Hawks",108,91,"Wed, Nov 10, 2010",2010-11-10,0,1,0,2011
"New Jersey Nets","Cleveland Cavaliers",95,87,"Wed, Nov 10, 2010",2010-11-10,0,1,1,2011
"Dallas Mavericks","Memphis Grizzlies",106,91,"Wed, Nov 10, 2010",2010-11-10,0,0,0,2011
"Golden State Warriors","New York Knicks",122,117,"Wed, Nov 10, 2010",2010-11-10,0,0,1,2011
"Philadelphia 76ers","Oklahoma City Thunder",103,109,"Wed, Nov 10, 2010",2010-11-10,0,0,0,2011
"Utah Jazz","Orlando Magic",104,94,"Wed, Nov 10, 2010",2010-11-10,0,1,0,2011
"Minnesota Timberwolves","Sacramento Kings",98,89,"Wed, Nov 10, 2010",2010-11-10,0,1,0,2011
"Los Angeles Clippers","San Antonio Spurs",95,107,"Wed, Nov 10, 2010",2010-11-10,0,1,0,2011
"Charlotte Bobcats","Toronto Raptors",101,96,"Wed, Nov 10, 2010",2010-11-10,0,0,0,2011
"Houston Rockets","Washington Wizards",91,98,"Wed, Nov 10, 2010",2010-11-10,0,0,0,2011
"Golden State Warriors","Chicago Bulls",90,120,"Thu, Nov 11, 2010",2010-11-11,0,1,0,2011
"Los Angeles Lakers","Denver Nuggets",112,118,"Thu, Nov 11, 2010",2010-11-11,0,0,0,2011
"Boston Celtics","Miami Heat",112,107,"Thu, Nov 11, 2010",2010-11-11,0,0,0,2011
"Utah Jazz","Atlanta Hawks",90,86,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"Philadelphia 76ers","Dallas Mavericks",90,99,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"Houston Rockets","Indiana Pacers",102,99,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"Detroit Pistons","Los Angeles Clippers",113,107,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"New York Knicks","Minnesota Timberwolves",103,112,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"Portland Trail Blazers","Oklahoma City Thunder",108,110,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"Toronto Raptors","Orlando Magic",110,106,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"Sacramento Kings","Phoenix Suns",89,103,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"Charlotte Bobcats","Washington Wizards",93,85,"Fri, Nov 12, 2010",2010-11-12,0,0,0,2011
"Utah Jazz","Charlotte Bobcats",96,95,"Sat, Nov 13, 2010",2010-11-13,0,1,1,2011
"Washington Wizards","Chicago Bulls",96,103,"Sat, Nov 13, 2010",2010-11-13,0,1,0,2011
"Indiana Pacers","Cleveland Cavaliers",99,85,"Sat, Nov 13, 2010",2010-11-13,0,1,0,2011
"Boston Celtics","Memphis Grizzlies",116,110,"Sat, Nov 13, 2010",2010-11-13,0,0,0,2011
"Toronto Raptors","Miami Heat",100,109,"Sat, Nov 13, 2010",2010-11-13,0,1,0,2011
"Golden State Warriors","Milwaukee Bucks",72,79,"Sat, Nov 13, 2010",2010-11-13,0,0,0,2011
"Orlando Magic","New Jersey Nets",91,90,"Sat, Nov 13, 2010",2010-11-13,0,1,0,2011
"Portland Trail Blazers","New Orleans Hornets",87,107,"Sat, Nov 13, 2010",2010-11-13,0,1,0,2011
"Philadelphia 76ers","San Antonio Spurs",93,116,"Sat, Nov 13, 2010",2010-11-13,0,1,0,2011
"Minnesota Timberwolves","Atlanta Hawks",105,111,"Sun, Nov 14, 2010",2010-11-14,0,0,0,2011
"Phoenix Suns","Los Angeles Lakers",121,116,"Sun, Nov 14, 2010",2010-11-14,0,0,0,2011
"Houston Rockets","New York Knicks",104,96,"Sun, Nov 14, 2010",2010-11-14,0,0,0,2011
"San Antonio Spurs","Oklahoma City Thunder",117,104,"Sun, Nov 14, 2010",2010-11-14,0,1,0,2011
"Detroit Pistons","Sacramento Kings",100,94,"Sun, Nov 14, 2010",2010-11-14,0,0,0,2011
"Minnesota Timberwolves","Charlotte Bobcats",110,113,"Mon, Nov 15, 2010",2010-11-15,0,1,0,2011
"New Orleans Hornets","Dallas Mavericks",95,98,"Mon, Nov 15, 2010",2010-11-15,0,0,0,2011
"Detroit Pistons","Golden State Warriors",97,101,"Mon, Nov 15, 2010",2010-11-15,0,1,0,2011
