"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Washington Wizards","Cleveland Cavaliers",84,94,"Tue, Oct 30, 2012",2012-10-30,0,0,0,2013
"Dallas Mavericks","Los Angeles Lakers",99,91,"Tue, Oct 30, 2012",2012-10-30,0,0,0,2013
"Boston Celtics","Miami Heat",107,120,"Tue, Oct 30, 2012",2012-10-30,0,0,0,2013
"Sacramento Kings","Chicago Bulls",87,93,"Wed, Oct 31, 2012",2012-10-31,0,0,0,2013
"Houston Rockets","Detroit Pistons",105,96,"Wed, Oct 31, 2012",2012-10-31,0,0,0,2013
"Memphis Grizzlies","Los Angeles Clippers",92,101,"Wed, Oct 31, 2012",2012-10-31,0,0,0,2013
"San Antonio Spurs","New Orleans Hornets",99,95,"Wed, Oct 31, 2012",2012-10-31,0,0,0,2013
"Denver Nuggets","Philadelphia 76ers",75,84,"Wed, Oct 31, 2012",2012-10-31,0,0,0,2013
"Golden State Warriors","Phoenix Suns",87,85,"Wed, Oct 31, 2012",2012-10-31,0,0,0,2013
"Los Angeles Lakers","Portland Trail Blazers",106,116,"Wed, Oct 31, 2012",2012-10-31,0,1,0,2013
"Indiana Pacers","Toronto Raptors",90,88,"Wed, Oct 31, 2012",2012-10-31,0,0,0,2013
"Dallas Mavericks","Utah Jazz",94,113,"Wed, Oct 31, 2012",2012-10-31,0,1,0,2013
"Oklahoma City Thunder","San Antonio Spurs",84,86,"Thu, Nov 1, 2012",2012-11-01,0,0,1,2013
"Houston Rockets","Atlanta Hawks",109,102,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Milwaukee Bucks","Boston Celtics",99,88,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Indiana Pacers","Charlotte Bobcats",89,90,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Chicago Bulls","Cleveland Cavaliers",115,86,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Memphis Grizzlies","Golden State Warriors",104,94,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Los Angeles Clippers","Los Angeles Lakers",105,95,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Sacramento Kings","Minnesota Timberwolves",80,92,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Utah Jazz","New Orleans Hornets",86,88,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Miami Heat","New York Knicks",84,104,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Portland Trail Blazers","Oklahoma City Thunder",92,106,"Fri, Nov 2, 2012",2012-11-02,0,0,1,2013
"Denver Nuggets","Orlando Magic",89,102,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Detroit Pistons","Phoenix Suns",89,92,"Fri, Nov 2, 2012",2012-11-02,0,0,0,2013
"Toronto Raptors","Brooklyn Nets",100,107,"Sat, Nov 3, 2012",2012-11-03,0,0,0,2013
"New Orleans Hornets","Chicago Bulls",89,82,"Sat, Nov 3, 2012",2012-11-03,0,1,1,2013
"Charlotte Bobcats","Dallas Mavericks",99,126,"Sat, Nov 3, 2012",2012-11-03,0,1,0,2013
"Portland Trail Blazers","Houston Rockets",95,85,"Sat, Nov 3, 2012",2012-11-03,0,1,1,2013
"Sacramento Kings","Indiana Pacers",98,106,"Sat, Nov 3, 2012",2012-11-03,0,1,1,2013
"Golden State Warriors","Los Angeles Clippers",114,110,"Sat, Nov 3, 2012",2012-11-03,0,1,1,2013
"Denver Nuggets","Miami Heat",116,119,"Sat, Nov 3, 2012",2012-11-03,0,1,1,2013
