"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Toronto Raptors","Boston Celtics",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"Minnesota Timberwolves","Charlotte Hornets",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"New York Knicks","Brooklyn Nets",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"Chicago Bulls","Memphis Grizzlies",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"Dallas Mavericks","New Orleans Pelicans",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"Washington Wizards","Oklahoma City Thunder",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"Phoenix Suns","Denver Nuggets",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"Portland Trail Blazers","Sacramento Kings",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"Utah Jazz","Los Angeles Lakers",NA,NA,"Fri, Oct 25, 2019",2019-10-25,1,0,0,2020
"Chicago Bulls","New York Knicks",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,0,0,2020
"Indiana Pacers","Detroit Pistons",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,0,0,2020
"Orlando Magic","Toronto Raptors",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,0,0,2020
"Philadelphia 76ers","Atlanta Hawks",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,0,0,2020
"Oklahoma City Thunder","Houston Rockets",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,1,0,2020
"Cleveland Cavaliers","Milwaukee Bucks",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,0,0,2020
"Golden State Warriors","New Orleans Pelicans",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,1,0,2020
"Portland Trail Blazers","San Antonio Spurs",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,1,0,2020
"Utah Jazz","Phoenix Suns",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,0,0,2020
"Denver Nuggets","Sacramento Kings",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,0,0,2020
"Charlotte Hornets","Los Angeles Clippers",NA,NA,"Mon, Oct 28, 2019",2019-10-28,1,1,0,2020
"Miami Heat","Milwaukee Bucks",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,0,0,2020
"Philadelphia 76ers","Detroit Pistons",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,0,0,2020
"Orlando Magic","Atlanta Hawks",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,0,0,2020
"Boston Celtics","New York Knicks",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,1,1,2020
"New Orleans Pelicans","Houston Rockets",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,1,0,2020
"Toronto Raptors","Chicago Bulls",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,1,1,2020
"Indiana Pacers","Cleveland Cavaliers",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,0,0,2020
"Washington Wizards","San Antonio Spurs",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,1,0,2020
"Sacramento Kings","Utah Jazz",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,1,1,2020
"Los Angeles Clippers","Phoenix Suns",NA,NA,"Sat, Oct 26, 2019",2019-10-26,1,0,1,2020
"Golden State Warriors","Oklahoma City Thunder",NA,NA,"Sun, Oct 27, 2019",2019-10-27,1,0,0,2020
"Brooklyn Nets","Memphis Grizzlies",NA,NA,"Sun, Oct 27, 2019",2019-10-27,1,0,0,2020
"Portland Trail Blazers","Dallas Mavericks",NA,NA,"Sun, Oct 27, 2019",2019-10-27,1,0,0,2020
"Miami Heat","Minnesota Timberwolves",NA,NA,"Sun, Oct 27, 2019",2019-10-27,1,1,0,2020
"Charlotte Hornets","Los Angeles Lakers",NA,NA,"Sun, Oct 27, 2019",2019-10-27,1,0,0,2020
"Atlanta Hawks","Detroit Pistons",NA,NA,"Thu, Oct 24, 2019",2019-10-24,1,0,1,2020
"Milwaukee Bucks","Houston Rockets",NA,NA,"Thu, Oct 24, 2019",2019-10-24,1,0,0,2020
"Los Angeles Clippers","Golden State Warriors",NA,NA,"Thu, Oct 24, 2019",2019-10-24,1,0,0,2020
"Miami Heat","Atlanta Hawks",NA,NA,"Thu, Oct 31, 2019",2019-10-31,1,0,0,2020
"Denver Nuggets","New Orleans Pelicans",NA,NA,"Thu, Oct 31, 2019",2019-10-31,1,0,0,2020
"San Antonio Spurs","Los Angeles Clippers",NA,NA,"Thu, Oct 31, 2019",2019-10-31,1,0,1,2020
"New Orleans Pelicans","Toronto Raptors",NA,NA,"Tue, Oct 22, 2019",2019-10-22,1,0,0,2020
"Los Angeles Lakers","Los Angeles Clippers",NA,NA,"Tue, Oct 22, 2019",2019-10-22,1,0,0,2020
"Atlanta Hawks","Miami Heat",NA,NA,"Tue, Oct 29, 2019",2019-10-29,1,1,0,2020
"Dallas Mavericks","Denver Nuggets",NA,NA,"Tue, Oct 29, 2019",2019-10-29,1,0,1,2020
"Memphis Grizzlies","Los Angeles Lakers",NA,NA,"Tue, Oct 29, 2019",2019-10-29,1,0,0,2020
"Detroit Pistons","Indiana Pacers",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Chicago Bulls","Charlotte Hornets",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Cleveland Cavaliers","Orlando Magic",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Minnesota Timberwolves","Brooklyn Nets",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Memphis Grizzlies","Miami Heat",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Boston Celtics","Philadelphia 76ers",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Washington Wizards","Dallas Mavericks",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"New York Knicks","San Antonio Spurs",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Oklahoma City Thunder","Utah Jazz",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Sacramento Kings","Phoenix Suns",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Denver Nuggets","Portland Trail Blazers",NA,NA,"Wed, Oct 23, 2019",2019-10-23,1,0,0,2020
"Minnesota Timberwolves","Philadelphia 76ers",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Chicago Bulls","Cleveland Cavaliers",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"New York Knicks","Orlando Magic",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Indiana Pacers","Brooklyn Nets",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Milwaukee Bucks","Boston Celtics",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Detroit Pistons","Toronto Raptors",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Houston Rockets","Washington Wizards",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Portland Trail Blazers","Oklahoma City Thunder",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Charlotte Hornets","Sacramento Kings",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Los Angeles Clippers","Utah Jazz",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Phoenix Suns","Golden State Warriors",NA,NA,"Wed, Oct 30, 2019",2019-10-30,1,0,0,2020
"Houston Rockets","Brooklyn Nets",NA,NA,"Fri, Nov 1, 2019",2019-11-01,1,0,0,2020
"Cleveland Cavaliers","Indiana Pacers",NA,NA,"Fri, Nov 1, 2019",2019-11-01,1,0,0,2020
"Milwaukee Bucks","Orlando Magic",NA,NA,"Fri, Nov 1, 2019",2019-11-01,1,0,0,2020
"New York Knicks","Boston Celtics",NA,NA,"Fri, Nov 1, 2019",2019-11-01,1,0,0,2020
"Detroit Pistons","Chicago Bulls",NA,NA,"Fri, Nov 1, 2019",2019-11-01,1,0,0,2020
"Los Angeles Lakers","Dallas Mavericks",NA,NA,"Fri, Nov 1, 2019",2019-11-01,1,0,0,2020
"Utah Jazz","Sacramento Kings",NA,NA,"Fri, Nov 1, 2019",2019-11-01,1,0,0,2020
"San Antonio Spurs","Golden State Warriors",NA,NA,"Fri, Nov 1, 2019",2019-11-01,1,1,0,2020
"Detroit Pistons","Charlotte Hornets",NA,NA,"Fri, Nov 15, 2019",2019-11-15,1,0,0,2020
"San Antonio Spurs","Orlando Magic",NA,NA,"Fri, Nov 15, 2019",2019-11-15,1,0,0,2020
"Indiana Pacers","Houston Rockets",NA,NA,"Fri, Nov 15, 2019",2019-11-15,1,0,0,2020
"Utah Jazz","Memphis Grizzlies",NA,NA,"Fri, Nov 15, 2019",2019-11-15,1,0,0,2020
"Washington Wizards","Minnesota Timberwolves",NA,NA,"Fri, Nov 15, 2019",2019-11-15,1,0,0,2020
"Philadelphia 76ers","Oklahoma City Thunder",NA,NA,"Fri, Nov 15, 2019",2019-11-15,1,0,0,2020
"Boston Celtics","Golden State Warriors",NA,NA,"Fri, Nov 15, 2019",2019-11-15,1,0,0,2020
"Sacramento Kings","Los Angeles Lakers",NA,NA,"Fri, Nov 15, 2019",2019-11-15,1,0,0,2020
"Atlanta Hawks","Detroit Pistons",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Charlotte Hornets","Washington Wizards",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Sacramento Kings","Brooklyn Nets",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Miami Heat","Chicago Bulls",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Los Angeles Lakers","Oklahoma City Thunder",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"San Antonio Spurs","Philadelphia 76ers",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Cleveland Cavaliers","Dallas Mavericks",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Boston Celtics","Denver Nuggets",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Golden State Warriors","Utah Jazz",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Houston Rockets","Los Angeles Clippers",NA,NA,"Fri, Nov 22, 2019",2019-11-22,1,0,0,2020
"Boston Celtics","Brooklyn Nets",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Charlotte Hornets","Detroit Pistons",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Toronto Raptors","Orlando Magic",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Milwaukee Bucks","Cleveland Cavaliers",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Philadelphia 76ers","New York Knicks",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Atlanta Hawks","Indiana Pacers",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Utah Jazz","Memphis Grizzlies",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Golden State Warriors","Miami Heat",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"New Orleans Pelicans","Oklahoma City Thunder",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Los Angeles Clippers","San Antonio Spurs",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Dallas Mavericks","Phoenix Suns",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Chicago Bulls","Portland Trail Blazers",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Washington Wizards","Los Angeles Lakers",NA,NA,"Fri, Nov 29, 2019",2019-11-29,1,0,0,2020
"Detroit Pistons","Indiana Pacers",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"Memphis Grizzlies","Orlando Magic",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"Cleveland Cavaliers","Washington Wizards",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"Sacramento Kings","Atlanta Hawks",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"Golden State Warriors","Minnesota Timberwolves",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"Toronto Raptors","New Orleans Pelicans",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"New York Knicks","Dallas Mavericks",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"Philadelphia 76ers","Denver Nuggets",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"Milwaukee Bucks","Utah Jazz",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,0,2020
"Brooklyn Nets","Portland Trail Blazers",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,0,1,2020
"Miami Heat","Los Angeles Lakers",NA,NA,"Fri, Nov 8, 2019",2019-11-08,1,1,0,2020
"Minnesota Timberwolves","Detroit Pistons",NA,NA,"Mon, Nov 11, 2019",2019-11-11,1,1,0,2020
"Dallas Mavericks","Boston Celtics",NA,NA,"Mon, Nov 11, 2019",2019-11-11,1,0,0,2020
"Houston Rockets","New Orleans Pelicans",NA,NA,"Mon, Nov 11, 2019",2019-11-11,1,0,0,2020
"Memphis Grizzlies","San Antonio Spurs",NA,NA,"Mon, Nov 11, 2019",2019-11-11,1,0,0,2020
"Utah Jazz","Golden State Warriors",NA,NA,"Mon, Nov 11, 2019",2019-11-11,1,0,0,2020
"Toronto Raptors","Los Angeles Clippers",NA,NA,"Mon, Nov 11, 2019",2019-11-11,1,1,0,2020
"Cleveland Cavaliers","New York Knicks",NA,NA,"Mon, Nov 18, 2019",2019-11-18,1,1,0,2020
"Indiana Pacers","Brooklyn Nets",NA,NA,"Mon, Nov 18, 2019",2019-11-18,1,0,0,2020
"Charlotte Hornets","Toronto Raptors",NA,NA,"Mon, Nov 18, 2019",2019-11-18,1,0,0,2020
"Milwaukee Bucks","Chicago Bulls",NA,NA,"Mon, Nov 18, 2019",2019-11-18,1,0,0,2020
"Portland Trail Blazers","Houston Rockets",NA,NA,"Mon, Nov 18, 2019",2019-11-18,1,0,0,2020
"San Antonio Spurs","Dallas Mavericks",NA,NA,"Mon, Nov 18, 2019",2019-11-18,1,0,0,2020
"Boston Celtics","Phoenix Suns",NA,NA,"Mon, Nov 18, 2019",2019-11-18,1,1,0,2020
