"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Boston Celtics","Cleveland Cavaliers",95,89,"Tue, Oct 27, 2009",2009-10-27,0,0,0,2010
"Washington Wizards","Dallas Mavericks",102,91,"Tue, Oct 27, 2009",2009-10-27,0,0,0,2010
"Los Angeles Clippers","Los Angeles Lakers",92,99,"Tue, Oct 27, 2009",2009-10-27,0,0,0,2010
"Houston Rockets","Portland Trail Blazers",87,96,"Tue, Oct 27, 2009",2009-10-27,0,0,0,2010
"Indiana Pacers","Atlanta Hawks",109,120,"Wed, Oct 28, 2009",2009-10-28,0,0,0,2010
"Charlotte Bobcats","Boston Celtics",59,92,"Wed, Oct 28, 2009",2009-10-28,0,0,1,2010
"Utah Jazz","Denver Nuggets",105,114,"Wed, Oct 28, 2009",2009-10-28,0,0,0,2010
"Houston Rockets","Golden State Warriors",108,107,"Wed, Oct 28, 2009",2009-10-28,0,1,0,2010
"Phoenix Suns","Los Angeles Clippers",109,107,"Wed, Oct 28, 2009",2009-10-28,0,0,1,2010
"Detroit Pistons","Memphis Grizzlies",96,74,"Wed, Oct 28, 2009",2009-10-28,0,0,0,2010
"New York Knicks","Miami Heat",93,115,"Wed, Oct 28, 2009",2009-10-28,0,0,0,2010
"New Jersey Nets","Minnesota Timberwolves",93,95,"Wed, Oct 28, 2009",2009-10-28,0,0,0,2010
"Sacramento Kings","Oklahoma City Thunder",89,102,"Wed, Oct 28, 2009",2009-10-28,0,0,0,2010
"Philadelphia 76ers","Orlando Magic",106,120,"Wed, Oct 28, 2009",2009-10-28,0,0,0,2010
"New Orleans Hornets","San Antonio Spurs",96,113,"Wed, Oct 28, 2009",2009-10-28,0,0,0,2010
"Cleveland Cavaliers","Toronto Raptors",91,101,"Wed, Oct 28, 2009",2009-10-28,0,1,0,2010
"San Antonio Spurs","Chicago Bulls",85,92,"Thu, Oct 29, 2009",2009-10-29,0,1,0,2010
"Denver Nuggets","Portland Trail Blazers",97,94,"Thu, Oct 29, 2009",2009-10-29,0,1,0,2010
"Washington Wizards","Atlanta Hawks",89,100,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Chicago Bulls","Boston Celtics",90,118,"Fri, Oct 30, 2009",2009-10-30,0,1,0,2010
"New York Knicks","Charlotte Bobcats",100,102,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Oklahoma City Thunder","Detroit Pistons",91,83,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Miami Heat","Indiana Pacers",96,83,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Dallas Mavericks","Los Angeles Lakers",94,80,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Toronto Raptors","Memphis Grizzlies",107,115,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Cleveland Cavaliers","Minnesota Timberwolves",104,87,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Orlando Magic","New Jersey Nets",95,85,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Sacramento Kings","New Orleans Hornets",92,97,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Milwaukee Bucks","Philadelphia 76ers",86,99,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Golden State Warriors","Phoenix Suns",101,123,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Los Angeles Clippers","Utah Jazz",98,111,"Fri, Oct 30, 2009",2009-10-30,0,0,0,2010
"Charlotte Bobcats","Cleveland Cavaliers",79,90,"Sat, Oct 31, 2009",2009-10-31,0,1,1,2010
"Portland Trail Blazers","Houston Rockets",107,111,"Sat, Oct 31, 2009",2009-10-31,0,0,0,2010
"Dallas Mavericks","Los Angeles Clippers",93,84,"Sat, Oct 31, 2009",2009-10-31,0,1,1,2010
"Detroit Pistons","Milwaukee Bucks",85,96,"Sat, Oct 31, 2009",2009-10-31,0,1,1,2010
"Philadelphia 76ers","New York Knicks",141,127,"Sat, Oct 31, 2009",2009-10-31,0,1,1,2010
"Sacramento Kings","San Antonio Spurs",94,113,"Sat, Oct 31, 2009",2009-10-31,0,1,0,2010
"New Jersey Nets","Washington Wizards",104,123,"Sat, Oct 31, 2009",2009-10-31,0,1,1,2010
"New Orleans Hornets","Boston Celtics",87,97,"Sun, Nov 1, 2009",2009-11-01,0,0,0,2010
"Memphis Grizzlies","Denver Nuggets",123,133,"Sun, Nov 1, 2009",2009-11-01,0,0,0,2010
"Atlanta Hawks","Los Angeles Lakers",110,118,"Sun, Nov 1, 2009",2009-11-01,0,0,0,2010
"Chicago Bulls","Miami Heat",87,95,"Sun, Nov 1, 2009",2009-11-01,0,0,0,2010
"Portland Trail Blazers","Oklahoma City Thunder",83,74,"Sun, Nov 1, 2009",2009-11-01,0,1,0,2010
"Minnesota Timberwolves","Phoenix Suns",112,120,"Sun, Nov 1, 2009",2009-11-01,0,0,0,2010
"Orlando Magic","Toronto Raptors",125,116,"Sun, Nov 1, 2009",2009-11-01,0,0,0,2010
"New Jersey Nets","Charlotte Bobcats",68,79,"Mon, Nov 2, 2009",2009-11-02,0,0,0,2010
"Minnesota Timberwolves","Los Angeles Clippers",90,93,"Mon, Nov 2, 2009",2009-11-02,0,1,0,2010
"New Orleans Hornets","New York Knicks",111,117,"Mon, Nov 2, 2009",2009-11-02,0,1,0,2010
"Memphis Grizzlies","Sacramento Kings",116,127,"Mon, Nov 2, 2009",2009-11-02,0,1,0,2010
"Houston Rockets","Utah Jazz",113,96,"Mon, Nov 2, 2009",2009-11-02,0,0,0,2010
"Milwaukee Bucks","Chicago Bulls",81,83,"Tue, Nov 3, 2009",2009-11-03,0,0,0,2010
"Washington Wizards","Cleveland Cavaliers",90,102,"Tue, Nov 3, 2009",2009-11-03,0,0,0,2010
"Utah Jazz","Dallas Mavericks",85,96,"Tue, Nov 3, 2009",2009-11-03,0,1,0,2010
"Orlando Magic","Detroit Pistons",80,85,"Tue, Nov 3, 2009",2009-11-03,0,0,0,2010
"Denver Nuggets","Indiana Pacers",111,93,"Tue, Nov 3, 2009",2009-11-03,0,0,0,2010
"Phoenix Suns","Miami Heat",104,96,"Tue, Nov 3, 2009",2009-11-03,0,0,0,2010
"Los Angeles Lakers","Oklahoma City Thunder",101,98,"Tue, Nov 3, 2009",2009-11-03,0,0,0,2010
"Boston Celtics","Philadelphia 76ers",105,74,"Tue, Nov 3, 2009",2009-11-03,0,0,0,2010
"Atlanta Hawks","Portland Trail Blazers",97,91,"Tue, Nov 3, 2009",2009-11-03,0,0,0,2010
"Memphis Grizzlies","Golden State Warriors",105,113,"Wed, Nov 4, 2009",2009-11-04,0,0,0,2010
"Los Angeles Lakers","Houston Rockets",103,102,"Wed, Nov 4, 2009",2009-11-04,0,1,0,2010
"Boston Celtics","Minnesota Timberwolves",92,90,"Wed, Nov 4, 2009",2009-11-04,0,1,0,2010
"Denver Nuggets","New Jersey Nets",122,94,"Wed, Nov 4, 2009",2009-11-04,0,1,0,2010
"Dallas Mavericks","New Orleans Hornets",107,114,"Wed, Nov 4, 2009",2009-11-04,0,1,0,2010
"Indiana Pacers","New York Knicks",101,89,"Wed, Nov 4, 2009",2009-11-04,0,1,0,2010
"Phoenix Suns","Orlando Magic",100,122,"Wed, Nov 4, 2009",2009-11-04,0,1,1,2010
"Atlanta Hawks","Sacramento Kings",113,105,"Wed, Nov 4, 2009",2009-11-04,0,1,0,2010
"Detroit Pistons","Toronto Raptors",99,110,"Wed, Nov 4, 2009",2009-11-04,0,1,0,2010
"Miami Heat","Washington Wizards",93,89,"Wed, Nov 4, 2009",2009-11-04,0,1,1,2010
"Chicago Bulls","Cleveland Cavaliers",86,85,"Thu, Nov 5, 2009",2009-11-05,0,0,0,2010
"San Antonio Spurs","Utah Jazz",99,113,"Thu, Nov 5, 2009",2009-11-05,0,0,0,2010
"Phoenix Suns","Boston Celtics",110,103,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Atlanta Hawks","Charlotte Bobcats",83,103,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Los Angeles Clippers","Golden State Warriors",118,90,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Oklahoma City Thunder","Houston Rockets",94,105,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Washington Wizards","Indiana Pacers",86,102,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Memphis Grizzlies","Los Angeles Lakers",98,114,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Denver Nuggets","Miami Heat",88,96,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Milwaukee Bucks","Minnesota Timberwolves",87,72,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Toronto Raptors","New Orleans Hornets",107,90,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"Cleveland Cavaliers","New York Knicks",100,91,"Fri, Nov 6, 2009",2009-11-06,0,1,0,2010
"Detroit Pistons","Orlando Magic",103,110,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"New Jersey Nets","Philadelphia 76ers",94,97,"Fri, Nov 6, 2009",2009-11-06,0,0,0,2010
"San Antonio Spurs","Portland Trail Blazers",84,96,"Fri, Nov 6, 2009",2009-11-06,0,1,0,2010
"Denver Nuggets","Atlanta Hawks",100,125,"Sat, Nov 7, 2009",2009-11-07,0,1,1,2010
"Charlotte Bobcats","Chicago Bulls",90,93,"Sat, Nov 7, 2009",2009-11-07,0,1,0,2010
"Toronto Raptors","Dallas Mavericks",101,129,"Sat, Nov 7, 2009",2009-11-07,0,1,0,2010
"Memphis Grizzlies","Los Angeles Clippers",110,113,"Sat, Nov 7, 2009",2009-11-07,0,1,1,2010
"New York Knicks","Milwaukee Bucks",87,102,"Sat, Nov 7, 2009",2009-11-07,0,1,1,2010
"Boston Celtics","New Jersey Nets",86,76,"Sat, Nov 7, 2009",2009-11-07,0,1,1,2010
"Sacramento Kings","Utah Jazz",104,99,"Sat, Nov 7, 2009",2009-11-07,0,0,0,2010
"Philadelphia 76ers","Detroit Pistons",81,88,"Sun, Nov 8, 2009",2009-11-08,0,0,0,2010
"New Orleans Hornets","Los Angeles Lakers",88,104,"Sun, Nov 8, 2009",2009-11-08,0,0,0,2010
