"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"New York Knicks","Cleveland Cavaliers",88,117,"Tue, Oct 25, 2016",2016-10-25,0,0,0,2017
"San Antonio Spurs","Golden State Warriors",129,100,"Tue, Oct 25, 2016",2016-10-25,0,0,0,2017
"Utah Jazz","Portland Trail Blazers",104,113,"Tue, Oct 25, 2016",2016-10-25,0,0,0,2017
"Brooklyn Nets","Boston Celtics",117,122,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Dallas Mavericks","Indiana Pacers",121,130,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Houston Rockets","Los Angeles Lakers",114,120,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Minnesota Timberwolves","Memphis Grizzlies",98,102,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Charlotte Hornets","Milwaukee Bucks",107,96,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Denver Nuggets","New Orleans Pelicans",107,102,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Miami Heat","Orlando Magic",108,96,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Oklahoma City Thunder","Philadelphia 76ers",103,97,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Sacramento Kings","Phoenix Suns",113,94,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Detroit Pistons","Toronto Raptors",91,109,"Wed, Oct 26, 2016",2016-10-26,0,0,0,2017
"Washington Wizards","Atlanta Hawks",99,114,"Thu, Oct 27, 2016",2016-10-27,0,0,0,2017
"Boston Celtics","Chicago Bulls",99,105,"Thu, Oct 27, 2016",2016-10-27,0,1,0,2017
"Los Angeles Clippers","Portland Trail Blazers",114,106,"Thu, Oct 27, 2016",2016-10-27,0,0,0,2017
"San Antonio Spurs","Sacramento Kings",102,94,"Thu, Oct 27, 2016",2016-10-27,0,0,1,2017
"Indiana Pacers","Brooklyn Nets",94,103,"Fri, Oct 28, 2016",2016-10-28,0,0,0,2017
"Houston Rockets","Dallas Mavericks",106,98,"Fri, Oct 28, 2016",2016-10-28,0,0,0,2017
"Orlando Magic","Detroit Pistons",82,108,"Fri, Oct 28, 2016",2016-10-28,0,0,0,2017
"Charlotte Hornets","Miami Heat",97,91,"Fri, Oct 28, 2016",2016-10-28,0,0,0,2017
"Golden State Warriors","New Orleans Pelicans",122,114,"Fri, Oct 28, 2016",2016-10-28,0,0,0,2017
"Phoenix Suns","Oklahoma City Thunder",110,113,"Fri, Oct 28, 2016",2016-10-28,0,0,0,2017
"Cleveland Cavaliers","Toronto Raptors",94,91,"Fri, Oct 28, 2016",2016-10-28,0,0,0,2017
"Los Angeles Lakers","Utah Jazz",89,96,"Fri, Oct 28, 2016",2016-10-28,0,0,0,2017
"Indiana Pacers","Chicago Bulls",101,118,"Sat, Oct 29, 2016",2016-10-29,0,1,0,2017
"Boston Celtics","Charlotte Hornets",104,98,"Sat, Oct 29, 2016",2016-10-29,0,0,1,2017
"Orlando Magic","Cleveland Cavaliers",99,105,"Sat, Oct 29, 2016",2016-10-29,0,1,1,2017
"Portland Trail Blazers","Denver Nuggets",115,113,"Sat, Oct 29, 2016",2016-10-29,0,0,0,2017
"Brooklyn Nets","Milwaukee Bucks",108,110,"Sat, Oct 29, 2016",2016-10-29,0,1,0,2017
"Memphis Grizzlies","New York Knicks",104,111,"Sat, Oct 29, 2016",2016-10-29,0,0,0,2017
"Atlanta Hawks","Philadelphia 76ers",104,72,"Sat, Oct 29, 2016",2016-10-29,0,0,0,2017
